instrument_id,trade_date,open_price,close_price,high_price,low_price,settle_price,volume,amount,pre_close_price,return_rate,data_source
000905.SH,2019-11-25,3712.58,3689.22,3727.04,3683.93,0.0,56040206.94,54693116.89,3846.54,-0.04,WIND
600030.SH,2019-11-25,25.81,25.45,25.97,25.45,0.0,957086.36,2047946.5,25.33,0.0,WIND
AU9999.SGE,2019-11-25,291.14,283.8,292.44,282.43,284.13,11233.08,3841832298.7,-88.41,-0.04,WIND
RB2003.SHF,2019-11-25,3846.89,3837.75,3872.01,3837.75,3857.16,66.23,223.73,3993.91,-0.04,WIND
RB2004.SHF,2019-11-25,2760.91,2765.78,2773.89,2756.85,2763.34,16.23,55.27,2887.63,-0.04,WIND
RB2005.SHF,2019-11-25,2818.99,2819.82,2848.28,2802.25,2828.19,120285.72,406532.05,2722.36,0.04,WIND
RB2007.SHF,2019-11-25,3119.97,3128.37,3154.52,3102.23,3136.78,164.36,552.11,3278.53,-0.05,WIND
RB2001.SHF,2019-11-25,2696.97,2696.97,2732.13,2675.87,2706.34,946048.22,3276267.65,2661.57,0.01,WIND
RB2002.SHF,2019-11-25,4954.17,4995.68,5040.15,4954.17,5010.5,317.23,1072.47,4845.0,0.03,WIND
RB2009.SHF,2019-11-25,3429.53,3438.77,3473.67,3419.26,3456.22,156.03,525.42,3459.87,-0.01,WIND
000905.SH,2019-11-26,3680.28,3657.12,3694.62,3651.88,0.0,55552657.14,54217286.78,3689.22,-0.01,WIND
600030.SH,2019-11-26,26.06,25.69,26.22,25.69,0.0,966274.39,2067606.79,25.45,0.01,WIND
AU9999.SGE,2019-11-26,277.37,270.38,278.61,269.07,270.69,10701.76,3660113630.97,-72.49,-0.05,WIND
RB2003.SHF,2019-11-26,3825.73,3816.64,3850.71,3816.64,3835.95,65.86,222.5,3837.75,-0.01,WIND
RB2004.SHF,2019-11-26,2892.6,2897.7,2906.21,2888.35,2895.15,17.01,57.91,2765.78,0.05,WIND
RB2005.SHF,2019-11-26,2735.55,2736.36,2763.97,2719.3,2744.48,116725.27,394498.7,2819.82,-0.03,WIND
RB2007.SHF,2019-11-26,3043.53,3051.73,3077.24,3026.22,3059.93,160.33,538.58,3128.37,-0.02,WIND
RB2001.SHF,2019-11-26,2623.34,2623.34,2657.55,2602.81,2632.46,920221.11,3186825.54,2696.97,-0.03,WIND
RB2002.SHF,2019-11-26,5089.91,5132.56,5178.25,5089.91,5147.79,325.93,1101.86,4995.68,0.03,WIND
RB2009.SHF,2019-11-26,3342.07,3351.08,3385.09,3332.07,3368.08,152.05,512.02,3438.77,-0.03,WIND
000905.SH,2019-11-27,3591.96,3569.35,3605.95,3564.24,0.0,54219393.37,52916071.89,3657.12,-0.02,WIND
600030.SH,2019-11-27,25.75,25.39,25.9,25.39,0.0,954775.73,2043002.27,25.69,-0.01,WIND
